"appid","name","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever","average_2weeks","median_forever","median_2weeks","price"
570,"Dota 2",87529549,209689,87529549,209689,9342085,77936,12098,1204,304,700,0
440,"Team Fortress 2",37257487,149190,37257487,149190,1565232,32260,4534,584,246,203,0
730,"Counter-Strike: Global Offensive",25073086,124725,24396078,123156,7906939,71850,17067,832,5175,399,937
304930,"Unturned",26439867,127812,20903331,114604,1034221,26242,1091,369,173,66,0
550,"Left 4 Dead 2",15234960,98670,13273699,92367,635744,20586,2340,222,571,75,399
4000,"Garry's Mod",12629212,90182,11697801,86911,1099264,27052,5739,503,995,116,499
240,"Counter-Strike: Source",15280070,98809,11336742,85605,305808,14284,7919,449,687,56,679
72850,"The Elder Scrolls V: Skyrim",11249318,85285,10732645,83366,1001525,25825,6939,548,2842,151,494
8930,"Sid Meier's Civilization V",9718356,79447,9156397,77178,757963,22474,10450,812,2513,305,749
10,"Counter-Strike",12938692,91239,9105692,76970,361759,15535,11203,619,457,72,249
230410,"Warframe",14182904,95350,8654586,75088,700962,21615,4108,922,283,262,0
227940,"Heroes & Generals",12384426,89336,8372033,73883,482403,17936,722,261,51,40,0
301520,"Robocraft",11198962,85100,7918654,71902,227126,12312,1121,303,143,73,0
105600,"Terraria",8021115,72355,7619491,70561,726315,22001,4651,505,1366,112,749
620,"Portal 2",8599509,74855,7158419,68438,146872,9901,999,178,586,57,399
400,"Portal",9633206,79108,6812921,66800,46859,5593,324,131,178,46,199
218620,"PAYDAY 2",7200732,68636,6674267,66130,452854,17379,3326,389,1048,106,314
49520,"Borderlands 2",6899820,67216,6213195,63847,250731,12935,3674,393,1479,93,299
236390,"War Thunder",10380502,82029,6144480,63499,419808,16734,2689,496,296,139,0
304050,"Trove",7052461,67940,5754571,61486,204047,11670,1157,385,123,57,0
220,"Half-Life 2",9836553,79914,5675190,61067,63994,6536,731,237,307,49,199
271590,"Grand Theft Auto V",5594236,60637,5497720,60120,1300863,29420,6684,580,3859,194,2999
630,"Alien Swarm",4813193,56308,4813193,56308,27626,4295,317,96,98,43,0
10180,"Call of Duty: Modern Warfare 2",5096970,57921,4566309,54865,78157,7223,1337,143,578,50,999
252490,"Rust",4710383,55712,4509309,54526,522793,18671,5881,861,1390,238,1259
10190,"Call of Duty: Modern Warfare 2 - Multiplayer",5096970,57921,4481858,54362,146697,9896,8733,191,2536,40,999
224260,"No More Room in Hell",7007525,67728,4407898,53917,106132,8417,425,135,89,43,0
444090,"Paladins",5099943,57938,4381321,53756,1601600,32630,631,348,221,120,0
252950,"Rocket League",4463674,54253,4289176,53195,1180743,28034,4008,473,1163,172,1199
291550,"Brawlhalla",4672441,55490,4287253,53183,456176,17443,651,219,144,58,0
273110,"Counter-Strike Nexon: Zombies",6886007,67150,4269768,53076,97565,8070,852,471,39,98,0
218230,"PlanetSide 2",6859255,67022,4234624,52860,119945,8948,1568,348,178,68,0
80,"Counter-Strike: Condition Zero",10360220,81951,4106986,52066,46684,5583,1929,345,86,35,249
22380,"Fallout: New Vegas",4566309,54865,4015715,51491,112951,8683,3546,391,1277,81,329
291480,"Warface",6249738,64031,3999979,51391,178694,10921,744,352,97,68,0
238960,"Path of Exile",5961240,62562,3938083,50997,221357,12154,3154,792,235,156,0
333930,"Dirty Bomb",5750549,61465,3873040,50579,121868,9020,604,249,65,39,0
322330,"Don't Starve Together Beta",5108685,57987,3815166,50203,386762,16062,1279,354,466,134,649
346110,"ARK: Survival Evolved",3949273,51068,3794359,50068,447259,17272,6845,1191,999,317,1399
203160,"Tomb Raider",4401428,53878,3636647,49027,121694,9013,945,276,642,106,499
221100,"DayZ",3656055,49157,3627380,48966,234645,12514,4537,405,1246,90,2379
320,"Half-Life 2: Deathmatch",13973262,94672,3621785,48928,16436,3313,557,97,39,24,99
219640,"Chivalry: Medieval Warfare",4067470,51818,3619337,48912,123442,9078,1144,148,301,52,229
33930,"Arma 2: Operation Arrowhead",4081982,51910,3602901,48802,81479,7375,3120,563,224,109,299
377160,"Fallout 4",3680533,49319,3601327,48791,485201,17988,6422,668,3726,181,1979
8870,"BioShock Infinite",4611070,55129,3507435,48157,57874,6216,887,266,636,65,1499
12210,"Grand Theft Auto IV",4139332,52269,3506211,48149,66267,6651,1349,222,421,30,699
42700,"Call of Duty: Black Ops",3633674,49008,3464422,47864,66617,6669,1457,167,544,59,1999
273350,"Evolve",4819313,56344,3370179,47215,114875,8757,562,131,118,33,0
24240,"PAYDAY: The Heist",4335686,53479,3353394,47098,30948,4546,492,100,170,37,374
221380,"Age of Empires II: HD Edition",3692947,49401,3321047,46873,243212,12740,2299,495,516,149,314
363970,"Clicker Heroes",4464723,54259,3314753,46829,225728,12274,5887,1320,428,54,0
386360,"SMITE",4477836,54337,3314054,46824,320670,14627,1875,659,164,156,0
8190,"Just Cause 2",4175351,52493,3291673,46667,47034,5604,998,165,218,27,374
219740,"Don't Starve",3755193,49812,3258977,46437,173798,10770,1317,345,367,77,374
208090,"Loadout",5417815,59689,3192360,45964,32172,4635,392,131,120,25,0
55230,"Saints Row: The Third",3957841,51123,3183268,45899,53503,5977,1587,248,917,78,249
10500,"Empire: Total War",3579297,48643,3117176,45425,130611,9337,6189,585,1349,186,999
42910,"Magicka",3656229,49158,3087452,45209,20632,3711,622,109,283,43,249
500,"Left 4 Dead",4398106,53858,3074688,45117,34095,4771,2360,204,490,37,399
42680,"Call of Duty: Modern Warfare 3",3383992,47311,3060875,45016,76408,7142,1449,145,553,57,1999
42710,"Call of Duty: Black Ops - Multiplayer",3633674,49008,3051433,44947,60847,6374,4475,149,1150,32,1999
20920,"The Witcher 2: Assassins of Kings Enhanced Edition",4354919,53596,3045663,44905,58924,6272,898,259,278,62,299
91310,"Dead Island",3553244,48468,3036221,44836,29025,4402,1103,218,456,57,0
200710,"Torchlight II",3348149,47062,3028528,44780,48258,5676,1562,228,677,74,474
43110,"Metro 2033",4648837,55352,3014016,44673,15911,3259,446,292,153,39,999
346900,"AdVenture Capitalist",3910282,50819,3012617,44663,182191,11027,2449,459,207,28,0
227300,"Euro Truck Simulator 2",3204075,46048,2980095,44423,433271,17000,4013,452,1183,130,499
1250,"Killing Floor",3455155,47801,2955966,44245,105957,8410,2459,205,535,64,449
300,"Day of Defeat: Source",6386643,64716,2939356,44121,35844,4892,1904,260,108,63,199
42690,"Call of Duty: Modern Warfare 3 - Multiplayer",3383992,47311,2909282,43897,117322,8850,6497,251,1700,47,1999
200510,"XCOM: Enemy Unknown",3460401,47837,2900015,43827,55951,6112,3053,528,1411,141,499
340,"Half-Life 2: Lost Coast",14825293,97393,2864871,43563,8393,2367,60,153,25,20,0
204360,"Castle Crashers",3177323,45857,2784791,42955,57000,6169,532,158,237,49,239
109600,"Neverwinter",4479760,54349,2742478,42630,57525,6197,1690,583,290,176,0
113400,"APB Reloaded",4516303,54567,2715901,42424,46160,5551,1646,426,151,99,0
220240,"Far Cry 3",3037795,44848,2701564,42313,54727,6045,1680,275,1007,74,499
255710,"Cities: Skylines",2813641,43175,2696493,42274,248982,12890,2218,381,770,102,12400
107410,"Arma 3",2740030,42611,2693171,42248,394980,16232,10577,1035,2298,278,1749
113200,"The Binding of Isaac",2991635,44508,2681456,42157,53678,5986,1861,145,377,25,499
63380,"Sniper Elite V2",3572128,48595,2660125,41990,29025,4402,536,180,194,55,839
202990,"Call of Duty: Black Ops II - Multiplayer",3011918,44658,2631275,41763,167154,10563,5100,196,1202,36,2999
206420,"Saints Row IV",3051433,44947,2592110,41454,79555,7288,1242,178,848,59,374
8980,"Borderlands",3103712,45327,2591410,41448,37417,4998,1831,335,762,106,249
253710,"theHunter",4156467,52375,2584416,41392,53853,5996,389,296,38,44,0
34330,"Total War: SHOGUN 2",2905611,43869,2570079,41278,90221,7761,4693,515,1426,155,1529
33910,"Arma 2",3150397,45664,2567281,41256,24828,4071,240,113,28,10,199
302830,"BLOCKADE 3D",3450959,47772,2532137,40975,68365,6756,403,143,51,41,0
295110,"H1Z1",2559413,41193,2511680,40810,81654,7383,3682,335,992,36,1999
222880,"Insurgency",3022758,44737,2510806,40803,176945,10868,1198,191,292,49,199
380,"Half-Life 2: Episode One",6282434,64195,2498391,40703,15037,3168,316,182,201,100,139
211420,"Dark Souls: Prepare to Die Edition",2804199,43103,2484404,40589,104559,8355,2478,377,512,101,999
202970,"Call of Duty: Black Ops II",3011918,44658,2471815,40487,51930,5888,542,101,214,19,2999
211820,"Starbound",2523919,40909,2462023,40407,116099,8804,3191,403,1529,77,937
7670,"BioShock",3614791,48881,2403275,39926,19758,3632,439,90,170,36,0
265930,"Goat Simulator",2575499,41322,2391735,39830,98089,8092,411,101,146,35,249
205100,"Dishonored",2790736,43000,2380020,39733,175372,10819,1061,322,606,122,329
226320,"Marvel Heroes 2015",5068645,57762,2375998,39700,66092,6643,1785,485,70,55,0
24200,"DC Universe Online",2367781,39632,2367781,39632,27801,4308,1497,416,361,132,0
48000,"LIMBO",3926543,50923,2354142,39518,36193,4916,179,69,99,22,199
272350,"Tom Clancy's Ghost Recon Phantoms - EU",4023059,51538,2341728,39415,12939,2939,1367,742,208,141,0
214950,"Total War: ROME II - Emperor Edition",2474088,40506,2316725,39205,187961,11201,7994,721,2672,239,2749
242760,"The Forest",2403275,39926,2286302,38949,181491,11006,1071,283,544,91,26100
203140,"Hitman: Absolution",3003000,44592,2282280,38914,40914,5226,985,197,504,59,499
70,"Half-Life",5907737,62285,2264446,38763,32522,4660,489,180,92,31,199
20900,"The Witcher: Enhanced Edition",3128366,45505,2253780,38672,36368,4928,906,409,179,108,119
212680,"FTL: Faster Than Light",2556091,41167,2251682,38654,84276,7501,1656,254,641,54,299
241930,"Middle-earth: Shadow of Mordor",2533885,40989,2243464,38584,95991,8005,1284,262,921,65,999
420,"Half-Life 2: Episode Two",5689353,61142,2233323,38498,15387,3205,481,231,305,103,159
48700,"Mount & Blade: Warband",2440342,40230,2227029,38444,214363,11961,6614,444,2174,135,599
40800,"Super Meat Boy",2567806,41260,2191185,38135,44236,5435,312,74,110,15,909
323370,"TERA",3746276,49753,2120022,37514,63120,6492,1628,745,253,123,0
15620,"Warhammer 40,000: Dawn of War II",2635821,41799,2075961,37125,18883,3551,1720,191,653,58,999
292030,"The Witcher 3: Wild Hunt",2239268,38548,2018611,36611,261222,13203,4235,581,2173,164,1499
50130,"Mafia II",2522870,40900,1964583,36121,43887,5413,1674,266,868,96,749
202090,"Magicka: Wizard Wars",3528066,48297,1953218,36017,5245,1871,224,544,47,6,0
271290,"HAWKEN",3317900,46851,1951819,36004,23779,3984,353,158,59,24,0
22370,"Fallout 3 - Game of the Year Edition",2297667,39045,1927865,35784,32522,4660,1072,196,238,34,999
6060,"Star Wars - Battlefront II",2471115,40481,1908107,35601,55951,6112,610,155,186,38,249
265630,"Fistful of Frags",2916626,43952,1906709,35588,61022,6383,299,120,82,43,0
319630,"Life Is Strange",2956141,44246,1905485,35576,58749,6263,531,179,188,57,0
244850,"Space Engineers",2112504,37448,1905310,35575,102286,8263,2768,384,518,100,2299
238460,"BattleBlock Theater",2147473,37755,1885727,35392,65568,6616,458,93,263,39,299
100,"Counter-Strike: Condition Zero Deleted Scenes",10360220,81951,1868592,35232,11190,2733,200,334,33,18,249
28050,"Deus Ex: Human Revolution",2206222,38265,1864396,35193,9267,2487,1527,252,931,59,0
280790,"Creativerse",2174749,37992,1862822,35178,105783,8403,540,308,85,46,0
236110,"Dungeon Defenders II",2456078,40359,1860724,35158,116448,8817,792,307,132,71,0
339610,"FreeStyle2: Street Basketball",3998405,51382,1857926,35132,39341,5125,798,420,66,46,0
233450,"Prison Architect",2045362,36852,1852156,35078,96690,8034,1599,278,604,64,699
200260,"Batman: Arkham City GOTY",3364759,47177,1850233,35060,41264,5249,990,246,501,83,499
107100,"Bastion",2335084,39359,1845687,35017,15212,3187,355,151,192,47,374
391540,"Undertale",1994832,36396,1831699,34884,130261,9325,950,149,556,49,499
17410,"Mirror's Edge",2761711,42778,1827153,34841,17660,3434,267,59,128,23,249
34030,"Napoleon: Total War",2275636,38858,1825929,34830,60672,6364,3662,370,760,123,999
200210,"Realm of the Mad God",2751920,42703,1825754,34828,52104,5898,1324,378,76,30,0
207610,"The Walking Dead",2138906,37680,1807920,34658,23430,3955,767,223,668,104,574
35720,"Trine 2",2638269,41818,1804073,34622,20982,3743,371,120,191,76,254
57300,"Amnesia: The Dark Descent",3198305,46007,1786414,34453,15037,3168,268,71,80,33,1399
12120,"Grand Theft Auto: San Andreas",2781294,42928,1777322,34365,51405,5858,834,275,111,38,349
248570,"Toribash",2452581,40330,1774174,34335,32871,4685,258,117,41,22,0
35450,"Rising Storm/Red Orchestra 2 Multiplayer",2756990,42742,1771901,34313,70638,6867,1697,229,273,78,449
433850,"H1Z1: King of the Kill",3040767,44869,1765082,34247,556189,19257,2406,581,520,182,1999
35140,"Batman: Arkham Asylum GOTY Edition",2815739,43191,1756515,34165,21506,3789,652,187,410,64,499
104900,"ORION: Prelude",2339280,39394,1754766,34148,15736,3241,249,164,83,35,49
219150,"Hotline Miami",2019660,36621,1740604,34010,35319,4856,343,77,239,23,212
24960,"Battlefield: Bad Company 2",1853205,35088,1740604,34010,42488,5326,3332,121,773,37,249
223710,"Cry of Fear",2725343,42497,1737282,33978,25178,4100,148,53,46,30,0
231430,"Company of Heroes 2",2056902,36955,1733260,33939,144773,9830,4135,470,804,171,2799
213670,"South Park: The Stick of Truth",1917724,35690,1733260,33939,32696,4672,937,243,754,87,2999
251570,"7 Days to Die",1802150,34603,1721196,33821,221706,12164,3864,856,762,326,919
209870,"Blacklight: Retribution",2866095,43572,1711754,33729,30423,4507,719,117,101,22,0
32370,"Star Wars: Knights of the Old Republic",2474962,40513,1711754,33729,23430,3955,837,319,172,35,249
201790,"Orcs Must Die! 2",2296618,39036,1705984,33672,21681,3805,728,192,341,82,374
355840,"Survarium",3038145,44850,1704585,33658,32871,4685,303,181,33,28,0
30,"Day of Defeat",7615994,70545,1701962,33633,13813,3037,966,344,27,33,99
312990,"The Expendabros",2745276,42651,1695143,33565,29724,4455,141,57,63,27,0
224600,"Defiance",3409170,47485,1666119,33278,21856,3820,1125,358,156,80,0
259080,"Just Cause 2: Multiplayer Mod",1665070,33268,1665070,33268,27451,4281,489,116,159,35,0
65800,"Dungeon Defenders",2002350,36464,1657551,33193,18709,3534,2638,443,705,68,239
221910,"The Stanley Parable",1993083,36380,1655103,33169,21681,3805,224,66,132,50,239
413150,"Stardew Valley",1735009,33956,1647060,33088,206145,11730,2719,514,1604,125,937
99900,"Spiral Knights",2672539,42087,1608419,32700,28850,4389,1205,271,96,44,0
346010,"Besiege",1707208,33684,1602300,32638,86025,7578,635,154,217,48,559
220200,"Kerbal Space Program",1617686,32793,1559812,32204,111553,8630,4277,464,1019,110,2399
489830,"The Elder Scrolls V: Skyrim Special Edition",5704215,61221,1541103,32011,803598,23140,759,632,128,195,2999
250900,"The Binding of Isaac: Rebirth",1583941,32451,1539529,31995,300213,14153,5810,395,2343,128,989
239140,"Dying Light",1598453,32599,1532011,31917,98964,8128,2152,389,1433,98,899
105450,"Age of Empires III: Complete Collection",1857576,35129,1528864,31884,63470,6510,1540,397,330,120,739
407530,"ARK: Survival Of The Fittest",5924872,62374,1512953,31719,47384,5625,224,190,25,19,0
321040,"DiRT 3 Complete Edition",3348673,47066,1504210,31627,959911,25285,257,173,92,71,299
233720,"Surgeon Simulator",1740079,34005,1501063,31594,45635,5520,209,65,107,27,199
209000,"Batman: Arkham Origins",2143976,37724,1489698,31475,30249,4494,1161,235,662,78,499
316010,"Magic Duels",2065994,37036,1477109,31342,99488,8150,1467,610,137,168,0
262410,"World of Guns: Gun Disassembly",2168630,37939,1476934,31340,34969,4832,192,79,42,20,0
242920,"Banished",1590060,32513,1467318,31239,54203,6016,1922,577,692,148,645
389570,"Mitos.is: The Game",1667518,33292,1453155,31088,41439,5260,527,233,72,30,0
261640,"Borderlands: The Pre-Sequel",1711055,33722,1450532,31060,58049,6225,2102,352,1080,118,1199
214420,"Gear Up",2081556,37174,1447035,31023,27101,4254,159,73,24,19,0
349700,"Aftermath",1984166,36299,1446511,31017,16610,3330,297,111,48,14,0
335240,"Transformice",1971402,36183,1437943,30926,50356,5798,807,313,43,41,0
57690,"Tropico 4",2289274,38974,1434796,30892,35669,4880,1142,270,263,85,374
239030,"Papers, Please",1602999,32645,1419584,30728,26752,4226,340,121,186,34,899
391460,"WARMODE",1724168,33850,1418885,30721,37942,5033,114,81,28,33,0
286940,"S.K.I.L.L. - Special Force 2",2021933,36641,1417661,30708,66092,6643,633,264,97,53,0
50620,"Darksiders",2441566,40240,1410667,30632,8917,2440,586,301,183,77,399
227700,"Firefall",3022758,44737,1409793,30623,6469,2078,856,172,85,99,0
204100,"Max Payne 3",1761236,34210,1406820,30590,18534,3518,758,143,530,49,699
299360,"Block N Load Beta",2117574,37493,1406646,30589,60322,6346,477,156,68,40,0
41070,"Serious Sam 3: BFE",1981193,36272,1400526,30522,26227,4185,602,133,224,51,369
12220,"Grand Theft Auto: Episodes from Liberty City",2748248,42674,1392483,30435,15911,3259,859,323,208,49,524
39120,"RIFT",2598054,41501,1391084,30420,18534,3518,2474,671,228,118,0
65980,"Sid Meier's Civilization: Beyond Earth",1491621,31495,1377971,30276,38991,5102,2780,575,1054,186,999
11020,"TrackMania Nations Forever",1974724,36213,1343875,29901,44936,5477,471,82,82,29,0
51100,"Tactical Intervention",2558889,41189,1343176,29893,12414,2879,211,27,27,9,0
282440,"Quake Live",2570953,41285,1326041,29703,22380,3865,408,306,40,43,999
22330,"The Elder Scrolls IV: Oblivion ",1719098,33801,1322894,29667,51055,5838,1612,331,416,56,21400
17390,"Spore",1484103,31416,1319222,29626,37592,5010,1072,273,427,85,374
206210,"Gotham City Impostors: Free To Play",2617462,41654,1317474,29607,22555,3881,307,80,57,29,0
298240,"Red Crucible: Firestorm",1778021,34372,1317124,29603,25353,4114,184,114,24,32,0
202170,"Sleeping Dogs",1568379,32292,1307332,29493,11190,2733,1072,182,709,41,0
8850,"BioShock 2",3230477,46235,1304185,29458,9442,2511,475,147,160,49,0
239220,"The Mighty Quest For Epic Loot",2152719,37801,1302612,29440,3147,1449,974,52,201,4,0
372000,"Tree of Savior (English Ver.)",1646011,33078,1301737,29430,57700,6207,3191,1092,322,111,0
311210,"Call of Duty: Black Ops III",1358213,30059,1297541,29383,214013,11951,4063,294,1405,79,2999
417860,"Emily is Away",1425529,30792,1289498,29292,19933,3648,71,110,40,25,0
204300,"Awesomenauts",1709831,33710,1284427,29235,25877,4157,1466,218,331,44,199
24740,"Burnout Paradise: The Ultimate Box",2043789,36838,1281455,29201,16610,3330,419,117,115,27,249
56400,"Warhammer 40,000: Dawn of War II  Retribution",1812291,34700,1280581,29191,32696,4672,2451,270,681,81,1499
4560,"Company of Heroes",3012967,44665,1276909,29149,9966,2579,898,220,144,49,1299
12900,"Audiosurf",1433397,30877,1271664,29089,10666,2668,546,54,140,26,249
10090,"Call of Duty: World at War",1528864,31884,1270265,29073,100887,8207,2239,294,738,68,999
228200,"Company of Heroes (New Steam Version)",3187464,45929,1250682,28849,70638,6867,2572,381,443,154,0
216250,"Dead Island Riptide",1803549,34617,1248584,28825,19933,3648,845,247,332,54,0
108710,"Alan Wake",1692346,33538,1248584,28825,11365,2754,431,159,181,22,1119
407250,"Pro Evolution Soccer 2016 myClub",1810193,34680,1229176,28601,52979,5947,800,254,77,63,0
282070,"This War of Mine",1452456,31081,1223930,28540,64169,6545,839,246,343,89,379
381210,"Dead by Daylight",1281280,29199,1221832,28516,346722,15209,2346,694,625,213,1399
380600,"Fishing Planet",1800576,34588,1221133,28508,34445,4796,567,275,37,43,0
17460,"Mass Effect",1517324,31764,1219035,28483,22905,3911,1425,419,730,101,249
289070,"Sid Meier’s Civilization® VI",1240541,28733,1215712,28445,722643,21946,2216,1008,1397,514,2699
211500,"RaceRoom Racing Experience ",3101439,45311,1208893,28365,32696,4672,235,103,26,22,0
4700,"Medieval II: Total War",1787463,34463,1206446,28336,88473,7685,3896,642,605,184,999
209160,"Call of Duty: Ghosts",1422207,30757,1205396,28324,24828,4071,493,126,312,26,2039
239820,"Game Dev Tycoon",1247535,28813,1200501,28267,29549,4442,763,144,453,63,629
248820,"Risk of Rain",1386363,30368,1196654,28221,37417,4998,976,186,317,55,999
214560,"Mark of the Ninja",1624155,32858,1196304,28217,25178,4100,401,124,197,46,374
9480,"Saints Row 2",2336308,39369,1191234,28158,8393,2367,899,188,146,24,249
379720,"DOOM",1248234,28821,1182666,28057,151068,10042,989,160,632,48,1979
209170,"Call of Duty: Ghosts - Multiplayer",1422207,30757,1179869,28024,31822,4609,2390,260,438,33,2039
110800,"L.A. Noire",1505609,31642,1178295,28005,15911,3259,816,195,332,62,899
389430,"Knight Online",1381642,30317,1172001,27930,24304,4028,3093,1717,61,40,0
242720,"GunZ 2: The Second Duel",3148473,45650,1169553,27901,10666,2668,472,131,59,17,0
246280,"Happy Wars",1819809,34772,1159412,27780,13288,2978,248,156,45,33,0
241600,"Rogue Legacy",1253654,28883,1153467,27709,18709,3534,938,154,446,40,374
4920,"Natural Selection 2",1657202,33189,1148571,27651,10491,2646,1086,314,157,110,599
1840,"Source Filmmaker",1143501,27590,1143501,27590,36193,4916,874,443,53,73,0
310380,"Fractured Space",2071939,37089,1142801,27581,36718,4951,237,123,34,28,0
203770,"Crusader Kings II",1386538,30370,1135807,27497,96690,8034,6837,763,717,335,999
108800,"Crysis 2 Maximum Edition",2172301,37971,1135283,27491,9092,2464,433,112,159,36,499
378120,"Football Manager 2016",1142102,27573,1130737,27436,236044,12551,18917,1405,8592,613,5499
374320,"DARK SOULS III",1151194,27682,1128114,27404,217160,12039,4407,545,3083,174,3899
209080,"Guns of Icarus Online",1369403,30182,1127065,27391,21157,3758,590,153,234,70,249
295270,"Football Manager 2015",1136157,27501,1121295,27321,63644,6518,24098,1801,11002,747,0
238320,"Outlast",1482005,31394,1118323,27285,32522,4660,316,78,149,26,499
9200,"RAGE",1317299,29605,1113777,27230,8917,2440,966,171,481,73,999
207140,"SpeedRunners",1265544,29020,1105559,27130,48258,5676,664,109,254,31,749
212070,"Star Conflict",1934334,35843,1101013,27074,28675,4375,833,272,84,37,0
223470,"POSTAL 2",1401050,30528,1099439,27055,25703,4142,397,122,156,37,99
250400,"How to Survive",1352968,30001,1099264,27052,8393,2367,368,139,172,94,149
201810,"Wolfenstein: The New Order",1271139,29083,1094019,26988,24828,4071,1121,350,722,79,0
50300,"Spec Ops: The Line",1653880,33156,1093145,26977,15736,3241,412,104,283,41,399
20570,"Warhammer 40,000: Dawn of War II - Chaos Rising",1833098,34898,1091221,26954,6994,2161,1337,199,453,141,999
35700,"Trine",1523094,31824,1091221,26954,10316,2624,300,104,159,47,194
41500,"Torchlight",1381642,30317,1088424,26919,3847,1602,975,56,452,31,374
218680,"Scribblenauts Unlimited",1525891,31853,1087375,26906,11540,2776,492,102,219,43,1999
4760,"Rome: Total War",1619784,32814,1085801,26887,47209,5614,2289,458,393,138,399
287700,"METAL GEAR SOLID V: THE PHANTOM PAIN",1149096,27657,1080556,26822,80779,7344,4098,427,2470,95,1949
17470,"Dead Space",2276510,38866,1076534,26772,14512,3113,399,166,91,63,249
203290,"America's Army: Proving Grounds Beta",2144326,37727,1071464,26709,23954,3999,1035,415,32,54,0
208580,"Star Wars: Knights of the Old Republic II",2022982,36651,1066918,26653,27451,4281,1180,306,367,71,249
242050,"Assassin's Creed IV Black Flag",1243863,28771,1052405,26471,43537,5391,2472,337,1572,104,999
317360,"Double Action: Boogaloo",1798303,34567,1040166,26317,18709,3534,115,68,41,33,0
24780,"SimCity 4 Deluxe",1155740,27736,1038592,26298,17834,3451,1082,440,186,76,249
316390,"sZone-Online",1708607,33698,1032822,26225,6294,2050,244,938,21,24,0
359550,"Tom Clancy's Rainbow Six Siege",1051356,26458,1028451,26169,446909,17265,4882,786,1781,386,1999
210770,"Sanctum 2",1543026,32031,1027577,26158,8742,2416,446,157,175,89,299
3590,"Plants vs. Zombies: Game of the Year",1155565,27734,1027052,26151,28850,4389,2098,278,538,62,249
225840,"Sven Co-op",1378845,30286,1025129,26127,39690,5148,242,155,48,50,0
224540,"Ace of Spades",1107657,27155,1024080,26114,12764,2919,745,104,249,43,1199
391220,"Rise of the Tomb Raider",1123218,27345,1018660,26045,160510,10351,1356,352,987,164,2499
236850,"Europa Universalis IV",1096292,27016,1015512,26005,190234,11268,11820,1010,1935,518,999
239160,"Thief",1388112,30387,1009917,25933,17135,3382,676,280,235,76,749
226700,"Infestation: Survivor Stories",1059049,26554,1006770,25893,7169,2188,2835,87,378,16,0
246620,"Plague Inc: Evolved",1031249,26205,1002224,25834,77108,7175,654,124,349,62,749
268500,"XCOM 2",1031249,26205,995230,25744,100887,8207,3360,613,2195,186,2499
17080,"Tribes: Ascend",1870515,35250,993132,25717,14337,3094,481,34,51,11,0
236430,"DARK SOULS II",1052230,26469,992433,25708,15037,3168,5018,375,2957,121,999
47890,"The Sims(TM) 3",1060798,26576,990160,25679,69764,6825,3742,601,1043,176,999
33900,"Arma 2",1170777,27916,978095,25522,3322,1489,414,40,36,12,199
232090,"Killing Floor 2",1014813,25996,977221,25511,194430,11392,2032,327,689,130,2024
238010,"Deus Ex: Human Revolution - Director's Cut",1480606,31379,975822,25493,17834,3451,1028,376,343,82,499
70000,"Dino D-Day",1544600,32047,972325,25447,9791,2557,223,79,91,26,99
211,"Source SDK",972150,25445,972150,25445,3847,1602,1401,136,53,39,0
10680,"Aliens vs. Predator",1126016,27379,971276,25433,11015,2712,803,139,299,36,549
212500,"The Lord of the Rings Online",2089074,37241,965331,25356,24653,4057,1906,598,93,154,0
24980,"Mass Effect 2",1705984,33672,964632,25347,20107,3664,2327,423,1541,131,499
268420,"Aura Kingdom",2199228,38204,963933,25337,16785,3348,869,451,67,45,0
113020,"Monaco",1328839,29734,963758,25335,8568,2392,229,73,98,37,479
9900,"Star Trek Online",1617686,32793,962009,25312,35494,4868,4409,764,366,238,0
355180,"Codename CURE",1431998,30862,961834,25310,26402,4198,131,56,39,27,0
264710,"Subnautica",1004497,25864,961660,25308,90396,7768,1113,250,497,64,1199
224760,"FEZ",1391784,30427,956939,25246,6469,2078,209,152,73,24,499
2400,"The Ship",1396679,30480,955890,25232,8742,2416,211,68,99,22,499
466910,"Worm.is: The Game",1071988,26716,955890,25232,32696,4672,180,52,46,16,0
234140,"Mad Max",1091221,26954,955715,25229,48258,5676,1581,400,965,111,1799
364360,"Total War: WARHAMMER",973374,25461,955190,25223,206844,11749,4137,705,2144,262,5999
209650,"Call of Duty: Advanced Warfare",1085451,26882,952043,25181,21506,3789,539,117,351,28,2999
7940,"Call of Duty 4: Modern Warfare",1045062,26379,946798,25112,49657,5758,1593,259,441,32,999
47810,"Dragon Age: Origins - Ultimate Edition",1151893,27690,944350,25079,13988,3056,2186,622,715,246,499
241540,"State of Decay",1039991,26315,943825,25072,11365,2754,1119,199,403,54,0
233250,"Planetary Annihilation",1223406,28534,940503,25028,11190,2733,673,186,266,65,419
209660,"Call of Duty: Advanced Warfare - Multiplayer",1085451,26882,936307,24973,20457,3696,2172,106,566,20,2999
237110,"Mortal Kombat Komplete Edition",1024604,26120,929837,24886,13813,3037,703,164,276,44,499
4540,"Titan Quest",1621008,32827,922669,24791,3147,1449,344,24,36,3,0
238090,"Sniper Elite 3",1043838,26364,917248,24718,43362,5381,1034,183,355,44,919
32800,"The Lord of the Rings: War in the North",1541628,32016,910779,24631,10141,2602,590,177,204,90,499
102600,"Orcs Must Die!",1477634,31348,908506,24600,4721,1775,437,67,199,45,249
